Year	1888	1888	1888	1893	1893	1893	1898	1898	1898	1903	1903	1903	1908	1908	1908	1913	1913	1913	1918	1918	1918	1920	1920	1920	1925	1925	1925	1930	1930	1930	1935	1935	1935	1940	1940	1940	1947	1947	1947	1950	1950	1950	1955	1955	1955	1960	1960	1960	1965	1965	1965	1970	1970	1970	1975	1975	1975	1980	1980	1980	1985	1985	1985	1990	1990	1990	1995	1995	1995	2000	2000	2000	2005	2005	2005
41	509066	260447	248619	541488	281637	259851	539479	278364	261115	452703	232242	220461	547452	280457	266995	565990	290604	275386	669432	343813	325619	670919	338875	332044	646454	326691	319763	708016	364120	343896	705226	367706	337520	765054	395963	369091	805880	409642	396238	949823	458870	490953	1018815	477632	541183	944838	425861	518977	1263289	595806	667483	1505635	755188	750447	1631547	817817	813730	1524897	760935	763962	1910068	951201	958867	2393337	1201223	1192114	1666822	839141	827681	1588957	799822	789135	1643281	827731	815550
42	444753	242722	202031	465320	239655	225665	519942	267512	252430	416272	213672	202600	532064	274232	257832	523201	268962	254239	699732	357291	342441	649605	330215	319390	641910	322112	319798	671065	346957	324108	671933	349124	322809	783571	403869	379702	828562	415118	413444	911402	446234	465168	984507	464012	520495	972795	441900	530895	1179970	528489	651481	1468638	736707	731931	1658130	830778	827352	1643736	818091	825645	1859160	925656	933504	2385137	1197000	1188137	1781163	894531	886632	1549456	778822	770634	1601907	805966	795941
43	493240	251201	242039	487371	252098	235273	510380	263866	246514	476147	245604	230543	575921	296665	279256	500912	257606	243306	640210	328833	311377	629209	317831	311378	639649	321718	317931	648262	331246	317016	677630	350381	327249	729807	379007	350800	802383	405748	396635	898516	444655	453861	989968	464696	525272	986925	451411	535514	1126649	495006	631643	1438054	716007	722047	1632699	821141	811558	1702410	849067	853343	1919433	957375	962058	2277715	1145495	1132220	1887063	946993	940070	1512465	760715	751750	1550197	779029	771168
44	457298	236685	220613	525452	271199	254253	519775	269469	250306	478740	244039	234701	547590	281710	265880	503251	258019	245232	620339	317019	303320	650005	328480	321525	656143	329675	326468	581300	295733	285567	610370	315151	295219	711312	365562	345750	838771	423943	414828	772371	390307	382064	956123	453416	502707	1006975	464906	542069	1062121	464059	598062	1430958	703380	727578	1604049	804563	799486	1725870	862555	863315	1882666	938198	944468	1430714	717007	713707	2008929	1008499	1000430	1592696	800517	792179	1531427	769821	761606
45	464100	241090	223010	492889	256147	236742	506936	261455	245481	512492	265958	246534	462102	237380	224722	573510	295755	277755	613478	313216	300262	583875	294835	289040	614300	309872	304428	606570	307629	298941	648106	333627	314479	694252	359058	335194	832025	422027	409998	812504	404955	407549	935286	450264	485022	980821	456709	524112	1125216	496875	628341	1351851	652648	699203	1538139	770596	767543	1673819	834964	838855	1723292	857144	866148	1545924	769005	776919	2168695	1088256	1080439	1650773	830052	820721	1544533	774589	769944
46	404806	209308	195498	475750	242090	233660	511395	265605	245790	509953	262832	247121	427330	218815	208515	517659	264607	253052	532744	272834	259910	565067	284428	280639	630311	317391	312920	611517	307067	304450	668777	343211	325566	657787	340042	317745	814670	415649	399021	779422	393991	385431	923603	445379	478224	1000189	467180	533009	928168	417432	510736	1244139	584981	659158	1511705	754499	757206	1607762	801400	806362	1508667	750030	758637	1886926	937807	949119	2391128	1200806	1190322	1653919	830544	823375	1576252	790161	786091
47	414761	215382	199379	411728	224229	187499	433852	222129	211723	489748	251498	238250	392839	201269	191570	502635	258705	243930	490975	251592	239383	548974	275922	273052	612388	310093	302295	608661	303068	305593	635550	326956	308594	626997	323312	303685	772333	392223	380110	817611	412372	405239	882979	431780	451199	968276	454380	513896	955122	432834	522288	1165384	519082	646302	1472103	733964	738139	1631191	812186	819005	1623607	805068	818539	1835618	911479	924139	2371371	1189535	1181836	1764112	882903	881209	1534063	766938	767125
48	392513	202426	190087	459207	232286	226921	453983	234035	219948	481224	247694	233530	446521	229670	216851	543078	278554	264524	470084	240740	229344	505850	255836	250014	590477	297059	293418	603820	301051	302769	611585	311132	300453	632253	324314	307939	716718	365972	350746	811241	409830	401411	873442	430697	442745	969332	453287	516045	965619	440414	525205	1107738	483890	623848	1430544	707929	722615	1604343	801196	803147	1680565	834371	846194	1897736	944264	953472	2265024	1138015	1127009	1864899	932313	932586	1495792	748341	747451
49	361561	186624	174937	422866	217095	205771	492095	251991	240104	487129	251072	236057	447178	227367	219811	515807	264017	251790	470040	239545	230495	454801	229383	225418	607673	305073	302600	615695	306342	309353	548816	276253	272563	567430	290066	277364	723099	368340	354759	783771	397700	386071	751863	377395	374468	932195	440403	491792	985207	453185	532022	1050585	456218	594367	1408919	689513	719406	1573272	783400	789872	1700483	845508	854975	1851808	919743	932065	1422148	711723	710425	1982305	991960	990345	1575221	787471	787750
50	334586	171901	162685	428899	220575	208324	458167	236531	221636	472378	242082	230296	479316	247482	231834	432752	221157	211595	534565	274216	260349	421494	212305	209189	543325	272310	271015	570608	285734	284874	569109	286472	282637	601903	306466	295437	669734	344634	325100	736722	372487	364235	785457	389533	395924	910259	435822	474437	957727	443878	513849	1105502	485704	619798	1331214	639983	691231	1508650	750312	758338	1649899	818507	831392	1693547	839221	854326	1529346	759251	770095	2138971	1068508	1070463	1631381	816353	815028
